Emoji Freq
🏋‍♂️ 2
🟩 251
🫶🏼 6
📛 4
😶‍🌫️ 2
🫠 5
🔄 3
🙅🏻‍♀️ 1
🔼 2
🧔🏾‍♀️ 1
🧂 1
🧃 1
🛍️ 1
🥮 1
😮‍💨 19
🧵 2
🤌 7
🗓️ 2
⚒️ 3
8️⃣ 1
🥷 1
🖕🏿 1
🫶🏻 9
🇵🇰 4
⛲ 5
🧍🏻 1
🤝🏽 1
🪐 1
9️⃣ 1
💪🏾 1
🤦🏻 3
🤺 1
◽ 48
⛏ 1
🫂 13
🐢 1
👍🏽 3
🪅 1
🤚🏻 1
🏴󠁧󠁢󠁥󠁮󠁧󠁿 4
🤝🏻 3
🍞 1
🇦🇷 4
👃🏼 1
🤌🏾 3
▪️ 2
❤️‍🩹 3
🤚 2
✊🏿 1
❤️‍🔥 5
🐋 1
💆‍♀️ 1
🦥 1
🤲🏾 1
🚶🏻‍♀️ 1
⬛ 58
🤲🏽 3
🕊️ 1
🛥 1
🤸🏻 1
🧍‍♂️ 1
🇺🇦 2
🫤 3
🇵🇹 1
🎟 1
🔌 1
🦙 1
👂 1
🧧 2
🙇🏽‍♀️ 1
🤌🏼 3
☯️ 2
⚒ 1
🫁 1
🙆🏿‍♂️ 1
🫖 1
🕺🏻 1
🕯️ 8
🌡️ 4
💅🏻 1
🥞 1
🕯 8
🥸 2
📉 1
🕺🏽 1
🕒 12
🏷 3
🖱️ 1
⬜ 93
🧍🏽‍♂️ 1
🗡 2
🫶 7
✖️ 4
🫡 3
👩🏼‍✈️ 1
🪶 1
🍆 1
🧼 1
🫶🏾 2
🇪🇺 1
📍 1
🪖 2
🧘 3
❤‍🔥 2
📽️ 1
⤴️ 1
🩲 1
🗓 1
🔭 1
🧍‍♀️ 1
🪄 1
🧍🏾‍♂️ 1
🧎🏻‍♂️ 1
🇸🇪 1
🥋 1
4️⃣ 3
🤝🏼 1
🕎 1
🧍🏽‍♀️ 1
🟡 1
🤎 2
📦 1
🇨🇭 1
⚓ 4
🗞 1
®️ 1
🫶🏽 1
📽 1
🤖 2
🧈 1
🇱🇷 3
🟪 1
🧏🏻‍♂️ 1
🔙 1
🪁 1
🔝 1
🧎🏾‍♀️ 1
🚝 1
🍭 1
🏃🏼‍♀ 2
🧍🏻‍♀️ 1
👉🏼 1
🐞 1
🇨🇳 1
🧯 1
🤝🏿 1
🕵🏻 1
🆙 1
🤾🏽‍♀️ 5
🌏 1
🫢 4
🩺 3
🐕‍🦺 1
🤏🏻 1
🚷 1
👨‍💻 1
🥚 1
🤴🏾 1
👤 1
⛔ 1
🖕🏾 1
🧇 1
🧎‍♀️ 2
🧙 2
🥑 1
🎺 1
🧩 2
🤦🏼 1
🫣 3
🪳 3
🤸‍♀️ 2
🚶🏿‍♂️ 2
🧙‍♀️ 1
🤦🏿‍♂️ 1
👨🏻‍🍳 1
